Hochschule;Standort;Lehrveranstaltung;Semester;Studiengang;Kategorien
Macromedia Hochschule;Stuttgart;Entwicklungspsychologie;WiSe 2025;Psychologie B.Sc.;Psychologie
Hochschule Heilbronn;;Grundlagen empirischer Forschungsmethoden;WiSe 2025;B.Sc. Angewandte Informatik;Forschungsmethoden (quantitativ)
Hochschule Heilbronn;;Experimentierpraktikum;WiSe 2025;B.Sc. Angewandte Informatik;Forschungsmethoden (quantitativ)
EH Ludwigsburg;;Medienpädagogische Praxisprojekte in der Sozialen Arbeit;;"B.A. Soziale Arbeit; B.A. Religionspädagogik; B.A. Diakoniewissenschaft";"Medienpädagogik; Soziale Arbeit"
Universität Stuttgart;TIK;Kreativ-Treffpunkt Makerspace: Digitale Innovation erleben & gestalten;;Studienübergreifende Schlüsselqualifikationen;"Medienpädagogik; Informatik"
Universität Stuttgart;TIK;Studentisches Arbeiten mit Open Source Anwendungen und Betriebssystemen;;Studienübergreifende Schlüsselqualifikationen;Informatik
Universität Stuttgart;TIK;Einführung in die Web-Programmierung;;Studienübergreifende Schlüsselqualifikationen;Informatik
TH Köln;;Einführung in die Onlineberatung;SoSe 2023;B.A. Soziale Arbeit;Beratung
TH Köln;;Einführung in die Onlineberatung;WiSe 2023/2024;B.A. Soziale Arbeit;Beratung
TH Köln;;Einführung in die Onlineberatung;SoSe 2024;B.A. Soziale Arbeit;Beratung
TH Köln;;Einführung in die Onlineberatung;WiSe 2024;B.A. Soziale Arbeit;Beratung
EH Berlin;;Qualitative Forschung in Religions- und Gemeindepädagogik;SoSe 2025;B.A. Religions- und Gemeindepädagogik;Forschungsmethoden (qualitativ)
DHBW Stuttgart;;Allgemeine Psychologie;;B.A. Soziale Arbeit;Psychologie
DHBW Stuttgart;;Sozialpsychologie;;B.A. Soziale Arbeit;"Psychologie; Soziale Arbeit"
EH Ludwigsburg;;Einführung in die Medienpädagogik;;"B.A. Soziale Arbeit; B.A. Religionspädagogik; B.A. Diakoniewissenschaft";Medienpädagogik
EH Ludwigsburg;;Medienpädagogische Praxisprojekte in der Sozialen Arbeit;;"B.A. Soziale Arbeit; B.A. Religionspädagogik; B.A. Diakoniewissenschaft";"Medienpädagogik; Soziale Arbeit"
EH Ludwigsburg;;Medienpädagogische Konzepte in der Sozialen Arbeit entwickeln;;"B.A. Soziale Arbeit; B.A. Religionspädagogik; B.A. Diakoniewissenschaft";"Medienpädagogik; Soziale Arbeit"
Hochschule Heilbronn;;Grundlagen empirischer Forschungsmethoden;SoSe 2024;B.Sc. Angewandte Informatik;Forschungsmethoden (quantitativ)
Hochschule Heilbronn;;Grundlagen empirischer Forschungsmethoden;SoSe 2025;B.Sc. Angewandte Informatik;Forschungsmethoden (quantitativ)
Hochschule Heilbronn;;Psychologie und Informatik;WiSe 2024;B.Sc. Angewandte Informatik;"Psychologie; Informatik"
Hochschule Heilbronn;;Experimentierpraktikum;WiSe 2024;B.Sc. Angewandte Informatik;Forschungsmethoden (quantitativ)
Hochschule München;;Gesellschaftliche Aspekte der Digitalisierung/Mediatisierung;SoSe 2024;M.A. Forschungsmethoden und Digitalisierung in der Sozialen Arbeit;"Medienpädagogik; Soziale Arbeit"
Macromedia Hochschule;Stuttgart;Empirische Forschung und Statistik;SoSe 2022;"Psychologie B.Sc.; Betriebswirtschaft B.A.";Forschungsmethoden (quantitativ)
Macromedia Hochschule;Stuttgart;Orientierungsprojekt Forschung;WiSe 2022/2023;"Psychologie B.Sc.; Betriebswirtschaft B.A.";Forschungsmethoden (quantitativ)
Macromedia Hochschule;Stuttgart;Medienpsychologie;SoSe 2023;"Psychologie B.Sc.; Betriebswirtschaft B.A.";"Psychologie; Medienpädagogik"
Macromedia Hochschule;Stuttgart;Einführung in die Psychologie;WiSe 2023;"Psychologie B.Sc.; Betriebswirtschaft B.A.";Psychologie
Macromedia Hochschule;Stuttgart;Pädagogische Psychologie;WiSe 2023;"Psychologie B.Sc.; Betriebswirtschaft B.A.";Psychologie
